business_id,sector,region,employees,annual_revenue_gbp,default_risk_category,created_at,opening_credit_score
SME_0415,Retail,Scotland,2,48556.52,Low,2021-12-30,618
SME_0416,Retail,Scotland,43,441504.99,High,2023-05-19,484
SME_0417,Retail,North West,120,82519.44,High,2022-01-20,515
SME_0418,Technology,London,179,423851.0,Low,2022-03-29,684
SME_0419,Retail,London,154,225782.55,High,2022-02-26,467
SME_0420,Healthcare,Scotland,129,1005285.0,Low,2022-02-25,655
SME_0421,Services,Midlands,155,318335.69,Medium,2022-10-28,677
SME_0422,Retail,North West,35,164135.82,Medium,2024-03-06,559
SME_0423,Retail,London,168,266659.71,Low,2021-10-18,705
SME_0424,Retail,Scotland,178,823360.14,Medium,2022-09-20,598
SME_0425,Services,South East,19,639286.3,Low,2021-11-11,709
SME_0426,Technology,London,94,255874.58,Medium,2021-09-10,695
SME_0427,Retail,Midlands,166,218075.53,High,2023-12-15,496
SME_0428,Technology,South East,95,103997.47,Low,2023-04-29,648
SME_0429,Retail,Scotland,168,373169.13,Medium,2023-12-10,505
SME_0430,Technology,London,187,83753.03,Medium,2024-05-09,620
SME_0431,Healthcare,Midlands,95,705456.64,Low,2021-09-02,694
SME_0432,Technology,North West,12,410743.66,Medium,2021-10-19,648
SME_0433,Services,South East,68,2136522.95,Medium,2021-10-10,620
SME_0434,Technology,Midlands,43,166304.35,Low,2021-11-30,699
SME_0435,Retail,Scotland,95,333602.46,Low,2022-08-08,646
SME_0436,Retail,North West,117,1604221.93,Low,2022-12-22,642
SME_0437,Retail,London,93,860821.11,Medium,2021-08-07,607
SME_0438,Services,Midlands,39,224636.01,Low,2022-11-20,677
SME_0439,Technology,North West,60,301346.23,Medium,2022-08-15,470
SME_0440,Services,London,136,345833.8,Medium,2023-11-19,596
SME_0441,Technology,North West,6,367412.28,High,2022-04-26,610
SME_0442,Retail,Scotland,43,171861.09,Medium,2022-02-07,546
SME_0443,Technology,South East,178,325678.99,Medium,2022-07-07,585
SME_0444,Retail,London,20,78405.44,High,2023-01-16,509
SME_0445,Retail,South East,83,438639.15,Low,2023-12-04,681
SME_0446,Technology,Midlands,42,485880.04,Medium,2024-05-27,620
SME_0447,Healthcare,London,21,308158.04,Low,2022-08-31,663
SME_0448,Services,North West,85,92504.89,Medium,2022-07-03,620
SME_0449,Retail,Scotland,104,690149.81,Medium,2022-03-29,554
SME_0450,Services,South East,36,448435.93,Medium,2021-09-19,609
SME_0451,Retail,,16,173296.06,Medium,2023-01-17,544
SME_0452,Healthcare,London,27,317826.53,Low,2022-01-27,673
SME_0453,Technology,Scotland,130,137529.21,Low,2022-05-28,748
SME_0454,Retail,South East,172,149783.04,Medium,2023-09-10,578
SME_0455,Retail,Scotland,36,208898.47,High,2022-01-10,608
SME_0456,Retail,North West,64,655308.01,High,2024-05-06,493
SME_0457,Healthcare,South East,69,217739.85,Medium,2022-10-01,665
SME_0458,Manufacturing,South East,72,613041.36,Low,2021-09-30,647
SME_0459,Technology,Scotland,49,257386.47,Low,2022-07-28,705
SME_0460,Services,North West,11,411681.02,Medium,2021-10-04,561
SME_0461,Services,Scotland,105,346436.77,Low,2024-05-03,696
SME_0462,Retail,North West,72,653582.72,Medium,2022-12-11,592
SME_0463,Healthcare,Scotland,69,266647.06,Low,2022-03-20,720
SME_0464,Manufacturing,Scotland,53,94890.11,Medium,2022-08-15,609
SME_0465,Services,Scotland,185,117625.73,Medium,2021-12-03,605
SME_0466,Services,North West,122,241186.67,Low,2023-02-24,611
SME_0467,Services,North West,84,82640.08,High,2022-07-03,429
SME_0468,Healthcare,South East,41,518287.73,Medium,2023-04-10,668
SME_0469,Retail,North West,160,136477.95,High,2021-12-12,428
SME_0470,Services,London,177,1982759.88,Medium,2024-02-26,513
SME_0471,Manufacturing,Scotland,7,82225.07,Medium,2023-10-05,570
SME_0472,Services,Midlands,186,459199.72,Low,2024-03-21,660
SME_0473,Retail,London,140,106575.84,High,2022-06-12,492
SME_0474,Retail,London,20,172275.94,High,2023-10-27,457
SME_0475,Retail,Scotland,150,431468.98,Low,2023-07-29,635
SME_0476,Manufacturing,South East,22,45459.84,Medium,2022-01-19,521
SME_0477,Manufacturing,Scotland,11,496497.09,Low,2023-06-13,709
SME_0478,Services,Scotland,23,1519641.04,Medium,2024-01-28,567
SME_0479,Services,London,92,253939.88,Medium,2024-06-10,640
SME_0480,Manufacturing,North West,124,504429.55,Low,2023-11-03,731
SME_0481,Manufacturing,London,82,757626.81,Medium,2021-10-28,567
SME_0482,Retail,South East,25,213187.81,High,2022-11-23,468
SME_0483,Services,South East,40,208054.3,Medium,2021-08-03,621
SME_0484,Manufacturing,South East,170,56217.15,Low,2023-11-15,607
SME_0485,Retail,Midlands,192,443357.01,Medium,2023-06-22,490
SME_0486,Manufacturing,London,151,304052.9,Low,2024-01-10,627
SME_0487,Services,Midlands,21,133607.76,High,2023-05-03,545
SME_0488,Retail,North West,164,406630.61,Low,2022-11-08,674
SME_0489,Services,Midlands,138,225934.85,Medium,2022-02-19,647
SME_0490,Services,South East,105,222380.93,Medium,2023-06-05,598
SME_0491,Technology,London,29,551082.65,Medium,2022-03-30,619
SME_0492,Services,London,199,131173.36,Medium,2022-09-02,675
SME_0493,Services,Midlands,89,862008.82,Low,2023-08-25,679
SME_0494,Manufacturing,North West,9,86979.06,High,2021-10-30,491
SME_0495,Technology,North West,42,172104.27,Medium,2023-03-26,543
SME_0496,Services,,80,1821132.83,Low,2024-01-23,677
SME_0497,Manufacturing,North West,13,722423.79,High,2021-09-06,560
SME_0498,Services,North West,65,305778.53,Medium,2021-10-29,503
SME_0499,Manufacturing,Scotland,94,165146.92,Medium,2024-05-10,648
SME_0500,Services,Scotland,189,255565.37,Low,2021-11-10,690
